doc_id,frames
1,Security Frame
2,Justice frame
3,Labor Rights Frame
4,Economic Impact and Social Justice
5,Immigration and Economic Engagement
6,Social Justice and Economic Impact
7,Minority Rights and Advocacy
8,Immigration and Social Dynamics
9,Workers' Rights and Social Justice
10,Political Advocacy and Legislation
11,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
12,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
13,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
14,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
15,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
16,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
17,Immigration Issues and Economic Dynamics
18,We were told that October would be the soonest.
19,Immigrant Rights and Advocacy
20,4. Conflict and Compliance
21,6. Civil Rights and Policy Advocacy
22,New Frame (Health and Smoking Policy)
23,"new frame assigned to segment: ""Criminal Justice and Legal Proceedings"""
24,"New frame assigned to segment: ""Environmental Impact and Public Health"""
25,New Frame (Marriage Equality and Civil Rights)
26,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
27,"New frame assigned to segment: ""Religious Opposition to LGBTQ+ Rights"""
28,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
29,Immigration Issues and Advocacy
30,Justice and Social Equity
31,New Frame (Religious Leadership and Social Issues)
32,"New frame assigned to segment: ""Political Personality and Rhetoric"""
33,"new frame assigned to segment: ""Community and Shared Experiences"""
34,"New frame assigned to segment: ""Marriage Equality and Legislative Challenges"""
35,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
36,Judicial Rulings on Workers' Rights
37,Civil Rights and Marriage Equality
38,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
39,Political and Social Advocacy
40,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
41,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
42,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
43,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
44,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
45,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
46,Health Policies and Economic Impact
47,Social Justice Advocacy
48,"New frame assigned to segment: ""Future Planning and Societal Progress"""
49,"16. New frame assigned to segment: ""Criminal Justice and Legal Proceedings"""
50,27. Civil Rights and Marriage Equality
51,Marriage Equality and Civil Rights
